rates

SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;MATDATE;IS_RII;INCLUDEDBYMOEX;DURATION;IS_QUALIFIED_INVESTORS;HIGH_RISK;COUPONFREQUENCY;SUSPENSION_LISTING;EVENINGSESSION;MORNINGSESSION;WEEKENDSESSION;WAPRICE;YIELDATWAP;COUPONDATE;COUPONPERCENT;COUPONVALUE;COUPONDAYSPASSED;COUPONDAYSREMAIN;COUPONLENGTH;ISSUEDATE;INITIALFACEVALUE;SECSUBTYPE;STARTDATEMOEX;REPLBOND;DAYSTOREDEMPTION;OFFERDATE;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0;FULLCOVERED;FULL_COVERED_LIMIT
BYM000001818;РесБел 331;РесБел 331 29.06.2027;Корпоративные еврооблигации;BYM000001818;;3;1000,0;USD;240419;0;1;TQCB;Т+: Облигации - безадрес.;29.06.2027;;1;677;0;0;2;0;0;0;0;95,547;10,43;29.12.2025;7,625;38,23;11;172;183;27.12.2024;1000,0;;2025-01-21;False;719;;Республика Беларусь в лице Министерства финансов Республики Беларусь;0010000025;1;95,71;74998,73;0,0;149997,46;0,0;149997,46;0,0;149997,46;100,0;;;;;33,00000;33,00000;1;0
BYM000001917;РесБел 334;РесБел 334 24.02.2026;Корпоративные еврооблигации;BYM000001917;;3;1000,0;USD;232232;0;1;TQCB;Т+: Облигации - безадрес.;24.02.2026;;1;222;0;0;2;0;0;0;0;95,76;13,53;24.08.2025;5,875;29,13;136;45;181;24.02.2025;1000,0;;2025-03-11;False;229;;Республика Беларусь в лице Министерства финансов Республики Беларусь;0010000025;1;95,71;76530,32;0,0;153060,64;0,0;153060,64;0,0;153060,64;100,0;;;;;33,00000;33,00000;1;0
BYM000001925;РесБел 335;РесБел 335 24.02.2031;Корпоративные еврооблигации;BYM000001925;;3;1000,0;USD;244136;0;1;TQCB;Т+: Облигации - безадрес.;24.02.2031;;1;1689;0;0;2;0;0;0;0;88,9293;9,12;24.08.2025;6,378;31,63;136;45;181;24.02.2025;1000,0;;2025-03-11;False;2055;;Республика Беларусь в лице Министерства финансов Республики Беларусь;0010000025;1;88,88;71337,64;0,0;142675,28;0,0;142675,28;0,0;142675,28;100,0;;;;;33,00000;33,00000;1;0
BYM000001941;РесБел 336;РесБел 336 28.02.2030;Корпоративные еврооблигации;BYM000001941;;3;1000,0;USD;149007;0;1;TQCB;Т+: Облигации - безадрес.;28.02.2030;;1;1446;0;0;2;0;0;0;0;87,9221;9,7;28.08.2025;6,200;30,75;132;49;181;28.02.2025;1000,0;;2025-03-11;False;1694;;Республика Беларусь в лице Министерства финансов Республики Беларусь;0010000025;1;88,3;70779,28;0,0;141558,56;0,0;141558,56;0,0;141558,56;100,0;;;;;33,00000;33,00000;1;0
CH0419041618;RZD-25 CHF;RZD CAPITAL PLC 0.898 03/10/25;Корпоративные еврооблигации;CH0419041618;;;5000,0;CHF;70000;0;1;RPEY;РЕПО в ин.валюте (CNY) - адрес.;03.10.2025;;;;1;0;1;0;0;0;0;;;03.10.2025;0,898;44,9;280;85;365;03.10.2019;5000,0;;;False;85;;RZD Capital P.L.C.;;1;99,48;491688,66;0,0;983377,32;0,0;983377,32;0,0;983377,32;100,0;;;;;100,00000;100,00000;1;0
CH0419041634;RZD-28 CHF;RZD CAPITAL PLC 03/04/28;Корпоративные еврооблигации;CH0419041634;;;5000,0;CHF;30000;0;1;RPEY;РЕПО в ин.валюте (CNY) - адрес.;03.04.2028;;;;1;0;1;0;0;0;0;;;03.04.2026;1,195;59,75;98;267;365;03.10.2019;5000,0;;;False;998;;RZD Capital P.L.C.;;1;97,98;482514,81;0,0;965029,62;0,0;965029,62;0,0;965029,62;100,0;;;;;100,00000;100,00000;1;0
CH1100259816;RZD-p CHF;RZD Capital PLC VAR UNDT;Корпоративные еврооблигации;CH1100259816;;;5000,0;CHF;50000;0;1;RPEY;РЕПО в ин.валюте (CNY) - адрес.;;;;;1;0;1;0;0;0;0;;;23.06.2026;3,125;156,25;17;348;365;23.03.2021;5000,0;;;False;;;RZD Capital P.L.C.;;1;98,88;486076,33;0,0;972152,66;0,0;972152,66;0,0;972152,66;100,0;;;;;100,00000;100,00000;1;0
KG000A3LSC78;Кыргыз. 01;Республика Кыргызстан 01;Корпоративные еврооблигации;KG000A3LSC78;;3;100,0;KGS;10000000;0;1;TQCB;Т+: Облигации - безадрес.;25.12.2025;;0;163;0;0;4;0;0;0;0;99,7926;16,61;25.09.2025;15,500;3,875;15;77;92;25.12.2023;100,0;;2023-12-25;False;168;;Республика Кыргызстан в лице Министерства финансов Кыргызской Республики;0061120211;1;99,74;91,02;0,0;182,04;0,0;182,04;0,0;182,04;100,0;;;;;33,00000;33,00000;1;0
KG000A3LSJ06;Кыргыз. 02;Республика Кыргызстан 02;Корпоративные еврооблигации;KG000A3LSJ06;;3;100,0;RUB;10000000;0;1;TQCB;Т+: Облигации - безадрес.;26.12.2025;;0;164;0;0;4;0;0;0;0;97,78;20,7;26.09.2025;14,500;3,625;14;78;92;26.12.2023;100,0;;2023-12-26;False;169;;Республика Кыргызстан в лице Министерства финансов Кыргызской Республики;0061120211;1;98,23;98,79;0,0;197,58;0,0;197,58;0,0;197,58;100,0;;;;;33,00000;33,00000;1;0
RU000A0A0RU0;ВТБС-1-544;Банк ВТБ С-1-544 (структурные);Корпоративные облигации;RU000A0A0RU0;6-544-01000-B-001P;;1000,0;RUB;;0;0;EQRP;РЕПО с ЦК 1 день - безадрес.;08.06.2026;;;;1;0;;0;0;0;0;;;08.06.2026;;;758;333;1091;13.06.2023;1000,0;Структурные облигации;;False;333;;Банк ВТБ (публичное акционерное общество);7702070139;1;74,41;744,1;0,0;1488,2;0,0;1488,2;0,0;1488,2;100,0;;;;;100,00000;100,00000;1;0
RU000A0A0RV8;ВТБС-1-545;Банк ВТБ С-1-545 (структурные);Корпоративные облигации;RU000A0A0RV8;6-545-01000-B-001P;;1000,0;RUB;;0;0;EQRP;РЕПО с ЦК 1 день - безадрес.;15.06.2026;;;;1;0;;0;0;0;0;;;15.06.2026;;;751;340;1091;20.06.2023;1000,0;Структурные облигации;;False;340;;Банк ВТБ (публичное акционерное общество);7702070139;1;81,25;812,5;0,0;1625,0;0,0;1625,0;0,0;1625,0;100,0;;;;;100,00000;100,00000;1;0
RU000A0A0RW6;ВТБС-1-546;Банк ВТБ С-1-546 (структурные);Корпоративные облигации;RU000A0A0RW6;6-546-01000-B-001P;;1000,0;RUB;;0;0;EQRP;РЕПО с ЦК 1 день - безадрес.;24.06.2026;;;;1;0;;0;0;0;0;;;24.06.2026;;;743;349;1092;28.06.2023;1000,0;Структурные облигации;;False;349;;Банк ВТБ (публичное акционерное общество);7702070139;1;77,32;773,2;0,0;1546,4;0,0;1546,4;0,0;1546,4;100,0;;;;;100,00000;100,00000;1;0
RU000A0A0RZ9;ВТБС-1-549;Банк ВТБ С-1-549 (структурные);Корпоративные облигации;RU000A0A0RZ9;6-549-01000-B-001P;;1000,0;RUB;;0;0;EQRP;РЕПО с ЦК 1 день - безадрес.;01.07.2026;;;;1;0;;0;0;0;0;;;01.07.2026;;;736;356;1092;05.07.2023;1000,0;Структурные облигации;;False;356;;Банк ВТБ (публичное акционерное общество);7702070139;1;92,39;923,9;0,0;1847,8;0,0;1847,8;0,0;1847,8;100,0;;;;;100,00000;100,00000;1;0
RU000A0A0S39;ВТБС-1-553;Банк ВТБ С-1-553 (структурные);Корпоративные облигации;RU000A0A0S39;6-553-01000-B-001P;;1000,0;RUB;;0;0;EQRP;РЕПО с ЦК 1 день - безадрес.;02.07.2026;;;;1;0;;0;0;0;0;;;02.07.2026;;;742;357;1099;29.06.2023;1000,0;Структурные облигации;;False;357;;Банк ВТБ (публичное акционерное общество);7702070139;1;49,56;495,6;0,0;991,2;0,0;991,2;0,0;991,2;100,0;;;;;100,00000;100,00000;1;0
RU000A0A0S47;ВТБС-1-554;Банк ВТБ С-1-554 (структурные);Корпоративные облигации;RU000A0A0S47;6-554-01000-B-001P;;1000,0;RUB;;0;0;EQRP;РЕПО с ЦК 1 день - безадрес.;22.06.2026;;;;1;0;;0;0;0;0;;;22.06.2026;;;744;347;1091;27.06.2023;1000,0;Структурные облигации;;False;347;;Банк ВТБ (публичное акционерное общество);7702070139;1;73,19;731,9;0,0;1463,8;0,0;1463,8;0,0;1463,8;100,0;;;;;100,00000;100,00000;1;0
RU000A0A0S62;ВТБС-1-556;Банк ВТБ С-1-556 (структурные);Корпоративные облигации;RU000A0A0S62;6-556-01000-B-001P;;1000,0;RUB;;0;0;EQRP;РЕПО с ЦК 1 день - безадрес.;06.07.2026;;;;1;0;;0;0;0;0;;;06.07.2026;;;730;361;1091;11.07.2023;1000,0;Структурные облигации;;False;361;;Банк ВТБ (публичное акционерное общество);7702070139;1;68,34;683,4;0,0;1366,8;0,0;1366,8;0,0;1366,8;100,0;;;;;100,00000;100,00000;1;0
RU000A0JQAM6;ДОМ.РФ15об;ДОМ.РФ (АО) обл. сер. А15;Корпоративные облигации;RU000A0JQAM6;4-15-00739-A;1;1000,0;RUB;7000000;1;0;TQCB;Т+: Облигации - безадрес.;15.09.2028;;;863;0;0;2;0;0;0;0;102,13;19,94;15.09.2025;20,000;100,82;117;67;184;27.08.2009;1000,0;;;False;1163;;"Акционерное общество ""ДОМ.РФ""";7729355614;1;101,95;1083,61;964,41;1202,81;931,9;1235,32;899,4;1267,82;11,0;140000;14,0;700000;17,0;11,00000;10,00000;0;0
